Год,Тип,Название,Соавторы,Издательство,Темы,Страницы,DOI,EDN,Ссылка,Полное описание
2014,Статья в журнале,Дети и волшебный мир загадок,,Педагогическое общество России,Профессиональное развитие педагогов; Дошкольное образование,с. 51–109,,,,"Тимофеева Л.Л. Дети и волшебный мир загадок // Повышение профессиональной компетентности педагога дошкольного образования. Выпуск 6 / Под ред. Л.Л. Тимофеевой. М.: Педагогическое общество России, 2014. С. 51—109"
2014,Статья в журнале,Интерактивные праздники в детском саду,,,Дошкольное образование,с. 6–16,,,,Тимофеева Л.Л. Интерактивные праздники в детском саду // Детский сад: теория и практика. 2014. № 7. С. 6—16
2014,Статья в журнале,Использование технологии фасилитации для построения эффективного взаимодействия субъектов в ДОО,Майер А.А.,,Дошкольное образование,с. 25–34,,,,"Майер А.А., Тимофеева Л.Л. Использование технологии фасилитации для построения эффективного взаимодействия субъектов в ДОО // Справочник старшего воспитателя дошкольного учреждения. 2014. № 4. С. 25—34"
2014,Статья в журнале,Использование технологии фасилитации для построения эффективного взаимодействия субъектов в ДОО (практические материалы),Майер А.А.,,Дошкольное образование,с. 31–41,,,,"Майер А.А., Тимофеева Л.Л. Использование технологии фасилитации для построения эффективного взаимодействия субъектов в ДОО (практические материалы) // Справочник старшего воспитателя дошкольного учреждения. 2014. № 5. С. 31—41"
2014,Статья в журнале,Личностно-ориентированные образовательные ситуации как основа организации детских видов деятельности,,Центр педагогического образования,Планирование образовательной деятельности; Дошкольное образование,с. 3–10,,,,"Тимофеева Л.Л. Личностно-ориентированные образовательные ситуации как основа организации детских видов деятельности // Тимофеева Л.Л., Корнеичева Е.Е., Грачева Н.И. Планирование образовательной деятельности в ДОО. Средняя группа / Под. ред. Л.Л. Тимофеевой. М.: Центр педагогического образования, 2014. – С. 3—10"
2014,Статья в журнале,Обеспечение качества дошкольного образования в условиях введения ФГОС,,,Планирование образовательной деятельности; Дошкольное образование,с. 114–117,,,,Тимофеева Л.Л. Обеспечение качества дошкольного образования в условиях введения ФГОС: материалы конференции. // Управление ДОУ. 2014. № 2. С.114—117
2014,Статья в журнале,Организационно-методическая работа по формированию культуры безопасности,Корнеичева Е.Е.; Грачева Н.И.,,Культура безопасности,с. 74–85,,,,"Тимофеева Л.Л., Корнеичева Е.Е., Грачева Н.И. Организационно-методическая работа по формированию культуры безопасности. // Управление ДОУ. 2014. № 4. С. 74—85"
2014,Статья в журнале,Организация и содержание наблюдений в летний период,,,Профессиональное развитие педагогов; Дошкольное образование,с. 58–69,,,,Тимофеева Л.Л. Организация и содержание наблюдений в летний период. // Воспитатель ДОУ. 2014. № 6. С. 58—69
2014,Статья в журнале,Организация образовательной деятельности с детьми первой младшей группы,Бережнова Л.Л.,,Профессиональное развитие педагогов,с. 2–6,,,,"Тимофеева Л.Л., Бережнова Л.Л. Организация образовательной деятельности с детьми первой младшей группы // Детский сад. Все для воспитателя. 2014. № 1. С. 2–6"
2014,Книга,Оценка профессиональной деятельности педагога детского сада,Бережнова О.В.,ИД «Цветной мир»,Профессиональное развитие педагогов; Дошкольное образование,,,,,"Бережнова О.В., Тимофеева Л.Л. Оценка профессиональной деятельности педагога детского сада. М.: ИД «Цветной мир», 2014"
2014,Программа / планирование,Планирование образовательной деятельности в ДОО. Вторая младшая группа,Корнеичева Е.Е.; Грачева Н.И.,Центр педагогического образования,Планирование образовательной деятельности; Дошкольное образование,,,,,"Тимофеева Л.Л., Корнеичева Е.Е., Грачева Н.И. Планирование образовательной деятельности в ДОО. Вторая младшая группа / Под. ред. Л.Л. Тимофеевой. М.: Центр педагогического образования, 2014. – 320 с"
2014,Программа / планирование,Планирование образовательной деятельности в ДОО. Подготовительная к школе группа,Корнеичева Е.Е.; Грачева Н.И.,Центр педагогического образования,Планирование образовательной деятельности; Дошкольное образование,,,,,"Тимофеева Л.Л., Корнеичева Е.Е., Грачева Н.И. Планирование образовательной деятельности в ДОО. Подготовительная к школе группа / Под. ред. Л.Л. Тимофеевой. М.: Центр педагогического образования, 2014. – 350 с"
2014,Программа / планирование,Планирование образовательной деятельности в ДОО. Средняя группа,Корнеичева Е.Е.; Грачева Н.И.,Центр педагогического образования,Планирование образовательной деятельности; Дошкольное образование,,,,,"Тимофеева Л.Л., Корнеичева Е.Е., Грачева Н.И. Планирование образовательной деятельности в ДОО. Средняя группа / Под. ред. Л.Л. Тимофеевой. М.: Центр педагогического образования, 2014. – 320 с"
2014,Программа / планирование,Планирование образовательной деятельности в ДОО. Старшая группа,Корнеичева Е.Е.; Грачева Н.И.,Центр педагогического образования,Планирование образовательной деятельности; Дошкольное образование,,,,,"Тимофеева Л.Л., Корнеичева Е.Е., Грачева Н.И. Планирование образовательной деятельности в ДОО. Старшая группа / Под. ред. Л.Л. Тимофеевой. М.: Центр педагогического образования, 2014. – 320 с"
2014,Статья в журнале,Планирование образовательной деятельности в дошкольной организации в соответствии с ФГОС,,Центр педагогического образования,Планирование образовательной деятельности; Дошкольное образование,с. 3–15,,,,"Тимофеева Л.Л. Планирование образовательной деятельности в дошкольной организации в соответствии с ФГОС // Планирование образовательной деятельности в ДОО. Вторая младшая группа / Под. ред. Л.Л. Тимофеевой. М.: Центр педагогического образования, 2014. – С.3—15"
2014,Программа / планирование,Планирование образовательной деятельности и оздоровления в ДОО в летний период,Деркунская В.А.; Корнеичева Е.Е.; Грачева Н.Н.,Центр педагогического образования,Планирование образовательной деятельности; Дошкольное образование,,,,,"Тимофеева Л.Л., Деркунская В.А., Корнеичева Е.Е., Грачева Н.Н. Планирование образовательной деятельности и оздоровления в ДОО в летний период. / Под. ред. Л.Л. Тимофеевой. М.: Центр педагогического образования, 2014. – 224 с"
2014,Статья в журнале,Построение взаимодействия с семьями воспитанников в процессе реализации образовательной программы,Майер А.А.,Детство-Пресс,Планирование образовательной деятельности,,,,,"Майер А.А., Тимофеева Л.Л. Построение взаимодействия с семьями воспитанников в процессе реализации образовательной программы // Внедрение ФГОС ДО в практику работы дошкольных образовательных организаций. СПб.: Детство-пресс, 2014. С"
2014,Статья в сборнике,Проблема проектирования и реализации ФГОС дошкольного образования,Майер А.А.,ФГБНУ «ИСТО РАО»,Проектная и исследовательская деятельность; Планирование образовательной деятельности,с. 109–116,,,,"Майер А.А., Тимофеева Л.Л. Проблема проектирования и реализации ФГОС дошкольного образования // Основные тенденции развития образования: теория и практика: Сборник трудов ВНПК / Под ред. И.М. Осмоловской, Н.А. Шарай. Сост. Н.В. Мунина. М.: ФГБНУ «ИСТО РАО», 2014. С. 109—116"
2014,Статья в журнале,Проблема формирования предпосылок учебной деятельности у детей дошкольного возраста,,,Дошкольное образование,с. 20–29,,,,Тимофеева Л.Л. Проблема формирования предпосылок учебной деятельности у детей дошкольного возраста. // Детский сад: теория и практика. 2014. № 6. С. 20—29
2014,Статья в сборнике,Проблемы преемственности дошкольного и начального общего образования: формирование предпосылок учебной деятельности у дошкольников,,,Планирование образовательной деятельности; Дошкольное образование,с. 296–301,,,,Тимофеева Л.Л. Проблемы преемственности дошкольного и начального общего образования: формирование предпосылок учебной деятельности у дошкольников // Материалы III ВНПК «Деятельность образовательных организаций по реализации ФГОС дошкольного и начального общего образования» 27—28.11.2014 г. Орехово-Зуево. С. 296—301
2014,Статья в журнале,Проблемы стандартизации дошкольного образования,Майер А.А.,,Дошкольное образование,с. 18–27,,,,"Тимофеева Л.Л., Майер А.А. Проблемы стандартизации дошкольного образования. // Управление ДОУ. 2014. № 3. С.18—27"
2014,Статья в журнале,Работа с детьми в предшкольный период,,,Дошкольное образование,с. 6–44,,,,Тимофеева Л.Л. Работа с детьми в предшкольный период // Методист дошкольного образовательного учреждения. 2014. № 13. С. 6—44
2014,Статья в журнале,Реализация комплексно-тематического принципа построения образовательного процесса в соответствии с ФГОС ДО,,Детство-Пресс,Планирование образовательной деятельности,,,,,"Тимофеева Л.Л. Реализация комплексно-тематического принципа построения образовательного процесса в соответствии с ФГОС ДО // Внедрение ФГОС ДО в практику работы дошкольных образовательных организаций. СПб.: Детство-пресс, 2014. С"
2014,Статья в журнале,Реализация новых положений законодательства в образовании: построение партнерских отношений между семьями воспитанников и ДОО,Майер А.А.,,Дошкольное образование,с. 17–34,,,,"Майер А.А., Тимофеева Л.Л. Реализация новых положений законодательства в образовании: построение партнерских отношений между семьями воспитанников и ДОО // Справочник старшего воспитателя дошкольного учреждения. 2014. № 9. С. 17—34"
2014,Статья в журнале,Реорганизация системы дошкольного образования в соответствии с целевыми ориентирами,,Детство-Пресс,Дошкольное образование,,,,,"Тимофеева Л.Л. Реорганизация системы дошкольного образования в соответствии с целевыми ориентирами // Внедрение ФГОС ДО в практику работы дошкольных образовательных организаций. СПб.: Детство-пресс, 2014. С"
2014,Статья в журнале,Реорганизация системы дошкольного образования в соответствии с целевыми ориентирами,,,Дошкольное образование,с. 11–16,,,,Тимофеева Л.Л. Реорганизация системы дошкольного образования в соответствии с целевыми ориентирами // Дошкольная педагогика. 2014. № 9 (104). С. 11 – 16
2014,Статья в журнале,Создание вариативных форм организации дошкольного образования как одно из условий успешной реализации ФГОС,,Педагогическое общество России,Планирование образовательной деятельности; Дошкольное образование,с. 3–5,,,,"Тимофеева Л.Л. Создание вариативных форм организации дошкольного образования как одно из условий успешной реализации ФГОС // Повышение профессиональной компетентности педагога дошкольного образования. Выпуск 6 / Под ред. Л.Л. Тимофеевой. М.: Педагогическое общество России, 2014. С. 3—5"
2014,Статья в журнале,Технологии фасилитации взаимодействия семьи и детского сада,Майер А.А.,,Дошкольное образование,с. 22–40,,,,"Майер А.А., Тимофеева Л.Л. Технологии фасилитации взаимодействия семьи и детского сада // Детский сад: теория и практика. 2014. № 2. С. 22—40"
2014,Книга,Технология проектирования образовательного процесса в дошкольной организации,Бережнова О.В.,ИД «Цветной мир»,Проектная и исследовательская деятельность; Дошкольное образование,,,,,"Бережнова О.В., Тимофеева Л.Л. Технология проектирования образовательного процесса в дошкольной организации. М.: ИД «Цветной мир», 2014"
2014,Статья в журнале,Трудности разработки стандарта дошкольного образования,Майер А.А.,,Дошкольное образование,,10.12737/3792.,,,"Майер А.А. Трудности разработки стандарта дошкольного образования / А.А. Майер, Л.Л. Тимофеева // Стандарты и мониторинг в образовании. 2014. Т. 2. № 2. C. 20–27. DOI: 10.12737/3792"
2014,Рабочая тетрадь,Формирование культуры безопасности,,Детство-Пресс,Культура безопасности,,,,,"Тимофеева Л.Л. Формирование культуры безопасности. Рабочая тетрадь. Подготовительная к школе группа. – СПб.: ООО «Издательство Детство-пресс», 2014. – 32 с"
2014,Статья в журнале,Формирование культуры безопасности у дошкольников,,,Культура безопасности; Дошкольное образование,с. 18–25,,,,Тимофеева Л.Л. Формирование культуры безопасности у дошкольников // Дошкольное воспитание. 2014. № 1. С. 18—25
2014,Статья в сборнике,Формирование культуры безопасности у дошкольников как важный аспект социализации: взаимодействие ДОО и семьи,,,Культура безопасности; Дошкольное образование,с. 105–108,,,,"Тимофеева Л.Л. Формирование культуры безопасности у дошкольников как важный аспект социализации: взаимодействие ДОО и семьи. // Сборник Всероссийской конференции «Современные подходы к проблеме социализации и индивидуализации развития ребенка в условиях дошкольных образовательных учреждений. СПб., 2014. С. 105—108"
2014,Статья в журнале,Формирование культуры безопасности у старших дошкольников,,Детство-Пресс,Культура безопасности; Дошкольное образование,с. 6–20,,,,"Тимофеева Л.Л. Формирование культуры безопасности у старших дошкольников. // Планирование образовательной деятельности в подготовительной к школе группе: методическое пособие. / Под общ. ред. Л.Л. Тимофеевой). СПб.: ООО «Издательство Детство-пресс», 2014. С. 6—20"
2014,Книга,Формирование культуры безопасности. Взаимодействие семьи и ДОО,Королева Н.И.,Детство-Пресс,Культура безопасности; Дошкольное образование,,,,,"Тимофеева Л.Л., Королева Н.И. Формирование культуры безопасности. Взаимодействие семьи и ДОО. СПб.: Детство-пресс, 2014. – 176 с"
2014,Методическое пособие,Формирование культуры безопасности. Планирование образовательной деятельности в подготовительной к школе группе,,Детство-Пресс,Культура безопасности; Планирование образовательной деятельности,,,,,"Формирование культуры безопасности. Планирование образовательной деятельности в подготовительной к школе группе: методическое пособие. (Л.Л. Тимофеева, Е.Е. Корнеичева, Н.И. Грачева и др.; под общ. ред. Л.Л. Тимофеевой). СПб.: ООО «Издательство Детство-пресс», 2014. – 192 с"
2014,Статья в сборнике,Формирование предпосылок учебной деятельности у детей старшего дошкольного возраста,,,Дошкольное образование,с. 105–111,,,,"Тимофеева Л.Л. Формирование предпосылок учебной деятельности у детей старшего дошкольного возраста. // Психолого-педагогическое сопровождение введения и реализации ФГОС участниками образовательного процесса: сборник материалов региональной НПК «Актуальные проблемы регионального образования в условиях реализации ФГОС нового поколения», 29.04.2014. г. Орел. Орел: изд-во БОУ ОО ДПО (ПК) С «Орловский институт усовершенствования учителей». С. 105– 111 с"
2014,Статья в журнале,Формирование предпосылок учебной деятельности у старших дошкольников,,Центр педагогического образования,Дошкольное образование,с. 3–7,,,,"Тимофеева Л.Л. Формирование предпосылок учебной деятельности у старших дошкольников // Планирование образовательной деятельности в ДОО. Подготовительная к школе группа / Под. ред. Л.Л. Тимофеевой. М.: Центр педагогического образования, 2014. С. 3—7"
2013,Монография,«Болезни роста» современного дошкольного образования: кризис системы или системный кризис?,Майер А.А.,МПГУ,Дошкольное образование,,,,,"Тимофеева Л.Л., Майер А.А. «Болезни роста» современного дошкольного образования: кризис системы или системный кризис? // Управление качеством дошкольного образования: теория и практика / Под ред. Н.В. Микляевой. Коллективная монография. М.: МПГУ, 2013. – 264 с"
2013,Статья в журнале,Активные методы в работе по повышению профессиональной компетентности педагогов,,Педагогическое общество России,Профессиональное развитие педагогов,с. 3–12,,,,"Тимофеева Л.Л. Активные методы в работе по повышению профессиональной компетентности педагогов // Повышение профессиональной компетентности педагога ДОУ. Выпуск 2 / Под ред. Тимофеевой Л.Л. М.: Педагогическое общество России, 2013. С. 3–12"
2013,Статья в журнале,Варианты реализации комплексно-тематического принципа построения образовательного процесса,,,,с. 52–64,,,,Тимофеева Л.Л. Варианты реализации комплексно-тематического принципа построения образовательного процесса // Детский сад: теория и практика. – 2013. – № 1. – С. 52–64
2013,Статья в журнале,Взаимодействие педагогов с семьями воспитанников в процессе формирования культуры безопасности у дошкольников,Королева Н.И.,,Культура безопасности; Дошкольное образование,с. 78–94,,,,"Тимофеева Л.Л., Королева Н.И. Взаимодействие педагогов с семьями воспитанников в процессе формирования культуры безопасности у дошкольников // Детский сад: теория и практика. 2013. № 10. С. 78—94"
2013,Статья в журнале,Выбор форм и методов работы с детьми раннего возраста в период адаптации к детскому саду,Бережнова О.В.,,,с. 6–18,,,,"Тимофеева Л.Л., Бережнова О.В. Выбор форм и методов работы с детьми раннего возраста в период адаптации к детскому саду // Детский сад: теория и практика. – 2013. – № 7. – С. 6—18"
2013,Статья в журнале,Графический способ разгадывания загадок в основе детского творчества,,,,с. 35–41,,,,Тимофеева Л.Л. Графический способ разгадывания загадок в основе детского творчества // Цветной мир. 2013. № 4. С. 35—41
2013,Статья в журнале,Дошкольное образование в предшкольный период,,Педагогическое общество России,Дошкольное образование,с. 13–54,,,,"Тимофеева Л.Л. Дошкольное образование в предшкольный период. // Повышение профессиональной компетентности педагога ДОУ. Выпуск 2 / Под ред. Тимофеевой Л.Л. М.: Педагогическое общество России, 2013. С. 13–54"
2013,Статья в журнале,Дошкольное образование: кризис системы или системный кризис?,Майер А.А.,,Дошкольное образование,с. 8–13,,,,"Тимофеева Л.Л., Майер А.А. Дошкольное образование: кризис системы или системный кризис? // Современный детский сад. 2013. № 5. С. 8—13. file:///C:/Users/User/Downloads/2013_5.pdf"
2013,Статья в сборнике,Дошкольное образование: на пути к системе?,Майер А.А.,МаГУ,Дошкольное образование,с. 23–32,,,,"Майер А.А., Тимофеева Л.Л. Дошкольное образование: на пути к системе? // Мир детства и образования: сборник материалов VII Всероссийской научно-практической конференции с международным участием. Магнитогорск: МаГУ, 2013. С. 23—32"
2013,Статья в журнале,Есть ли в России дошкольное образование?,Майер А.А.,,Дошкольное образование,с. 74–81,,,,"Майер А.А., Тимофеева Л.Л. Есть ли в России дошкольное образование? // Начальная школа плюс До и После. 2013. № 8. С. 74—81"
2013,Статья в журнале,Инновационные структуры дошкольного образования,,,Дошкольное образование,с. 24–36,,,,Тимофеева Л.Л. Инновационные структуры дошкольного образования // Управление ДОУ. – 2013. – № 1. – С. 24–36
2013,Статья в журнале,Интегративный подход в процессе формирования культуры безопасности у дошкольников,,,Культура безопасности; Дошкольное образование,с. 6–12,,,,Тимофеева Л.Л. Интегративный подход в процессе формирования культуры безопасности у дошкольников // Дошкольная педагогика. 2013. № 10 (95). С. 6— 12
2013,Статья в журнале,Компетентностный подход в дошкольном образовании,,Педагогическое общество России,Профессиональное развитие педагогов; Дошкольное образование,с. 3–40,,,,"Тимофеева Л.Л. Компетентностный подход в дошкольном образовании // Повышение профессиональной компетентности педагога ДОУ. Выпуск 1 / Под ред. Тимофеевой Л.Л. М.: Педагогическое общество России, 2013. С. 3–40"
2013,Статья в сборнике,Компетентность педагога по проблеме формирования культуры безопасности у дошкольников,Корнеичева Е.Е.; Грачева Н.И.,,Культура безопасности; Профессиональное развитие педагогов,с. 300–306,,,,"Тимофеева Л.Л., Корнеичева Е.Е., Грачева Н.И. Компетентность педагога по проблеме формирования культуры безопасности у дошкольников // Проблема обеспечения качества дошкольного образования в условиях введения ФГОС. Материалы II Всероссийской НПК. 17-18.2013. Орел, 2013. С. 300—306"
2013,Статья в журнале,Направления модернизации методических службах в дошкольных образовательных организациях,,,Дошкольное образование,с. 6–14,,,,Тимофеева Л.Л. Направления модернизации методических службах в дошкольных образовательных организациях. // Детский сад: теория и практика. 2013. № 11. С. 6—14
2013,Статья в журнале,Непрерывное образование педагога ДОУ в современных условиях,,Педагогическое общество России,Профессиональное развитие педагогов; Дошкольное образование,с. 3–4,,,,"Тимофеева Л.Л. Непрерывное образование педагога ДОУ в современных условиях. // Повышение профессиональной компетентности педагога ДОУ. Выпуск 3 / Под ред. Тимофеевой Л.Л. М.: Педагогическое общество России, 2013. С. 3—4"
2013,Статья в журнале,Основная общеобразовательная программа дошкольной образовательной группы кратковременного пребывания «Школа будущего первоклассника»,Бережнова О.В.,,Планирование образовательной деятельности; Дошкольное образование,с. 37–50,,,,"Тимофеева Л.Л., Бережнова О.В. Основная общеобразовательная программа дошкольной образовательной группы кратковременного пребывания «Школа будущего первоклассника» // Управление начальной школой. – 2013. – № 2. – С. 37–50"
2013,Статья в журнале,Партнерство семьи и детского сада: новые горизонты,Майер А.А.,,Дошкольное образование,с. 34–44,,,,"Майер А.А., Тимофеева Л.Л. Партнерство семьи и детского сада: новые горизонты // Детский сад: теория и практика. 2013. № 10. С. 34–44"
2013,Статья в сборнике,Перспективы детства и проблемы дошкольного образования,Майер А.А.,,Дошкольное образование,с. 32–36,,,,"Майер А.А., Тимофеева Л.Л. Перспективы детства и проблемы дошкольного образования // Проблемы социализации растущего человека в современном мире. Материалы МНПК, посвященной 70-летию РАО и 125-летию А.С. Макаренко, г. Белгород, 25-26.09.2013. С. 32—36"
2013,Статья в журнале,Планирование образовательной деятельности в дошкольной организации,,,Планирование образовательной деятельности; Дошкольное образование,с. 26–31,,,,Тимофеева Л.Л. Планирование образовательной деятельности в дошкольной организации // Школа управления образовательным учреждением. 2013. № 9. С. 26—31
2013,Статья в сборнике,Планирование образовательной деятельности в дошкольном учреждении как этап технологической подготовки к реализации модели педагогического процесса,,,Планирование образовательной деятельности; Дошкольное образование,с. 281–289,,,,Тимофеева Л.Л. Планирование образовательной деятельности в дошкольном учреждении как этап технологической подготовки к реализации модели педагогического процесса // Проектирование образовательного процесса в современном дошкольном учреждении. Материалы Всероссийской НПК. Тверь 7-8.02.2013. С. 281-289
2013,Статья в журнале,Планирование образовательной деятельности в разновозрастной группе,,,Планирование образовательной деятельности,с. 115–122,,,,Тимофеева Л.Л. Планирование образовательной деятельности в разновозрастной группе // Воспитатель ДОУ. 2013. № 9. С. 115—122
2013,Программа / планирование,Планирование образовательной деятельности с детьми в режиме дня. Старшая группа,Корнеичева Е.Е.; Грачева Н.И.,Центр педагогического образования,Планирование образовательной деятельности,,,,,"Планирование образовательной деятельности с детьми в режиме дня. Старшая группа. Авторы-составители Тимофеева Л.Л., Корнеичева Е.Е., Грачева Н.И. / Под ред. Л.Л. Тимофеевой. – М.: Центр педагогического образования, 2013. – 496 с"
2013,Статья в журнале,Планирование образовательной деятельности с детьми с учетом особенностей разновозрастной группы,,Центр педагогического образования,Планирование образовательной деятельности,с. 3–10,,,,"Тимофеева Л.Л. Планирование образовательной деятельности с детьми с учетом особенностей разновозрастной группы // Тимофеева Л.Л., Корнеичева Е.Е., Грачева Н.И. Планирование образовательной деятельности с дошкольниками в режиме дня. Разновозрастная группа. М.: Центр педагогического образования, 2013. С. 3—10"
2013,Программа / планирование,Планирование образовательной деятельности с дошкольниками в режиме дня. Разновозрастная группа,Корнеичева Е.Е.; Грачева Н.И.,Центр педагогического образования,Планирование образовательной деятельности; Дошкольное образование,,,,,"Тимофеева Л.Л., Корнеичева Е.Е., Грачева Н.И. Планирование образовательной деятельности с дошкольниками в режиме дня. Разновозрастная группа. М.: Центр педагогического образования, 2013. – 288 с"
2013,Статья в журнале,Повышение компетентности учителей по проблеме формирования культуры безопасности у учеников,Королева Н.И.,,Культура безопасности; Профессиональное развитие педагогов,с. 26–35,,,,"Тимофеева Л.Л., Королева Н.И. Повышение компетентности учителей по проблеме формирования культуры безопасности у учеников // Управление начальной школой. 2013. № 10. С. 26 – 35"
2013,Статья в журнале,Построение партнерских отношений между школой и семьями учащихся на основе технологий фасилитации,Майер А.А.,,Начальное образование,с. 46–61,,,,"Майер А.А., Тимофеева Л.Л. Построение партнерских отношений между школой и семьями учащихся на основе технологий фасилитации // Управление начальной школой. 2013. № 11. С. 46 – 61"
2013,Статья в сборнике,Потенциал технологий фасилитации в построении партнерства нового уровня дошкольной образовательной организации и семьи,Майер А.А.,,Дошкольное образование,с. 186–191,,,,"Майер А.А., Тимофеева Л.Л. Потенциал технологий фасилитации в построении партнерства нового уровня дошкольной образовательной организации и семьи. // Проблема обеспечения качества дошкольного образования в условиях введения ФГОС. Материалы II Всероссийской НПК. 17-18.2013. Орел, 2013. С. 186—191"
2013,Статья в журнале,Проблема адаптации к ДОУ детей раннего возраста,Бережнова Л.Л.,,Дошкольное образование,с. 6–11,,,,"Тимофеева Л.Л., Бережнова Л.Л. Проблема адаптации к ДОУ детей раннего возраста // Дошкольная педагогика. 2013. № 7 (92). С. 6—11"
2013,Статья в сборнике,Проблема обеспечения психологической безопасности дошкольников,Королева Н.И.,,Культура безопасности; Дошкольное образование,с. 102–105,,,,"Тимофеева Л.Л., Королева Н.И. Проблема обеспечения психологической безопасности дошкольников // Проблемы социализации растущего человека в современном мире. Материалы МНПК, посвященной 70-летию РАО и 125-летию А.С. Макаренко, г. Белгород, 25-26.09.2013. С. 102—105"
